sample-id	forward-absolute-filepath	reverse-absolute-filepath
KT	/scratch/ruizhang/CNL/qiime2/raw_data/NX.VH01519_104.001.FLD_ill_0289_i7---FLD_ill_0288_i5.KT_R1.fastq.gz	/scratch/ruizhang/CNL/qiime2/raw_data/NX.VH01519_104.001.FLD_ill_0289_i7---FLD_ill_0288_i5.KT_R2.fastq.gz
104-100-filt	/scratch/ruizhang/CNL/qiime2/raw_data/NX.VH01519_104.001.FLD_ill_0290_i7---FLD_ill_0287_i5.104-100-filt_R1.fastq.gz	/scratch/ruizhang/CNL/qiime2/raw_data/NX.VH01519_104.001.FLD_ill_0290_i7---FLD_ill_0287_i5.104-100-filt_R2.fastq.gz
FLT	/scratch/ruizhang/CNL/qiime2/raw_data/NX.VH01519_104.001.FLD_ill_0297_i7---FLD_ill_0280_i5.FLT_R1.fastq.gz	/scratch/ruizhang/CNL/qiime2/raw_data/NX.VH01519_104.001.FLD_ill_0297_i7---FLD_ill_0280_i5.FLT_R2.fastq.gz
103l-10	/scratch/ruizhang/CNL/qiime2/raw_data/NX.VH01519_104.001.FLD_ill_0305_i7---FLD_ill_0272_i5.103l-10_R1.fastq.gz	/scratch/ruizhang/CNL/qiime2/raw_data/NX.VH01519_104.001.FLD_ill_0305_i7---FLD_ill_0272_i5.103l-10_R2.fastq.gz
103d-10	/scratch/ruizhang/CNL/qiime2/raw_data/NX.VH01519_104.001.FLD_ill_0313_i7---FLD_ill_0264_i5.103d-10_R1.fastq.gz	/scratch/ruizhang/CNL/qiime2/raw_data/NX.VH01519_104.001.FLD_ill_0313_i7---FLD_ill_0264_i5.103d-10_R2.fastq.gz
104-10	/scratch/ruizhang/CNL/qiime2/raw_data/NX.VH01519_104.001.FLD_ill_0321_i7---FLD_ill_0256_i5.104-10_R1.fastq.gz	/scratch/ruizhang/CNL/qiime2/raw_data/NX.VH01519_104.001.FLD_ill_0321_i7---FLD_ill_0256_i5.104-10_R2.fastq.gz
103d-10-filt	/scratch/ruizhang/CNL/qiime2/raw_data/NX.VH01519_104.001.FLD_ill_0329_i7---FLD_ill_0248_i5.103d-10-filt_R1.fastq.gz	/scratch/ruizhang/CNL/qiime2/raw_data/NX.VH01519_104.001.FLD_ill_0329_i7---FLD_ill_0248_i5.103d-10-filt_R2.fastq.gz
104-10-filt	/scratch/ruizhang/CNL/qiime2/raw_data/NX.VH01519_104.001.FLD_ill_0337_i7---FLD_ill_0240_i5.104-10-filt_R1.fastq.gz	/scratch/ruizhang/CNL/qiime2/raw_data/NX.VH01519_104.001.FLD_ill_0337_i7---FLD_ill_0240_i5.104-10-filt_R2.fastq.gz
103l-100	/scratch/ruizhang/CNL/qiime2/raw_data/NX.VH01519_104.001.FLD_ill_0345_i7---FLD_ill_0232_i5.103l-100_R1.fastq.gz	/scratch/ruizhang/CNL/qiime2/raw_data/NX.VH01519_104.001.FLD_ill_0345_i7---FLD_ill_0232_i5.103l-100_R2.fastq.gz
103d-100	/scratch/ruizhang/CNL/qiime2/raw_data/NX.VH01519_104.001.FLD_ill_0353_i7---FLD_ill_0224_i5.103d-100_R1.fastq.gz	/scratch/ruizhang/CNL/qiime2/raw_data/NX.VH01519_104.001.FLD_ill_0353_i7---FLD_ill_0224_i5.103d-100_R2.fastq.gz
104-100	/scratch/ruizhang/CNL/qiime2/raw_data/NX.VH01519_104.001.FLD_ill_0361_i7---FLD_ill_0216_i5.104-100_R1.fastq.gz	/scratch/ruizhang/CNL/qiime2/raw_data/NX.VH01519_104.001.FLD_ill_0361_i7---FLD_ill_0216_i5.104-100_R2.fastq.gz
103l-100-filt	/scratch/ruizhang/CNL/qiime2/raw_data/NX.VH01519_104.001.FLD_ill_0369_i7---FLD_ill_0208_i5.103l-100-filt_R1.fastq.gz	/scratch/ruizhang/CNL/qiime2/raw_data/NX.VH01519_104.001.FLD_ill_0369_i7---FLD_ill_0208_i5.103l-100-filt_R2.fastq.gz
103d-100-filt	/scratch/ruizhang/CNL/qiime2/raw_data/NX.VH01519_104.001.FLD_ill_0377_i7---FLD_ill_0200_i5.103d-100-filt_R1.fastq.gz	/scratch/ruizhang/CNL/qiime2/raw_data/NX.VH01519_104.001.FLD_ill_0377_i7---FLD_ill_0200_i5.103d-100-filt_R2.fastq.gz
BlankpcrCES3	/scratch/ruizhang/CNL/qiime2/raw_data/NX.VH01519_104.001.FLD_ill_0378_i7---FLD_ill_0199_i5.BlankpcrCES3_R1.fastq.gz	/scratch/ruizhang/CNL/qiime2/raw_data/NX.VH01519_104.001.FLD_ill_0378_i7---FLD_ill_0199_i5.BlankpcrCES3_R2.fastq.gz
